As of April 1, 2022

Symbol	Name	US Symbol	Sector	International Market
FRX:TSX	Fennec Pharmaceuticals Inc.	FENC	Life Sciences	NasdaqCM
FSV:TSX	FirstService Corporation	FSV	Real Estate	NasdaqGM
FTRP:TSX	Field Trip Health Ltd.	FTRP	Life Sciences	NasdaqGS
FTS:TSX	Fortis Inc.	FTS	Utilities & Pipelines	NYSE
FURY:TSX	Fury Gold Mines Limited	FURY	Mining	NYSE MKT
FVI:TSX	Fortuna Silver Mines Inc.	FSM	Mining	NYSE
GAL:TSXV	Galantas Gold Corporation		Mining	AIM
GAME:TSXV	Engine Gaming and Media Inc.	GAME	Technology	NasdaqGM
GATO:TSX	Gatos Silver, Inc.	GATO	Mining	NYSE
GAU:TSX	Galiano Gold Inc.	GAU	Mining	NYSE MKT
GFL:TSX	GFL Environmental Inc.	GFL	Industrial Products & Services	NYSE
GIB.A:TSX	CGI Inc.	GIB	Technology	NYSE
GIL:TSX	Gildan Activewear Inc.	GIL	Consumer Products & Services	NYSE
GOLD:TSX	GoldMining Inc.	GLDG	Mining	NYSE MKT
GOOS:TSX	Canada Goose Holdings Inc.	GOOS	Consumer Products & Services	NYSE
GPR:TSX	Great Panther Mining Limited	GPL	Mining	NYSE MKT
GPV:TSXV	Greenpower Motor Company Inc.	GP	Clean Technology	NasdaqCM
GRT.UN:TSX	Granite Real Estate Investment Trust	GRP.U	Real Estate	NYSE
GSP:TSXV	Gensource Potash Corporation		Mining	AIM
GSV:TSX	Gold Standard Ventures Corp.	GSV	Mining	NYSE MKT
GTE:TSX	Gran Tierra Energy Inc.	GTE	Oil & Gas	NYSE MKT
GTMS:TSX	Greenbrook TMS Inc.	GBNH	Life Sciences	NasdaqCM
GWR:TSX	Global Water Resources, Inc.	GWRS	Clean Technology	NasdaqGM
HBM:TSX	HudBay Minerals Inc.	HBM	Mining	NYSE
HCH:TSXV	Hot Chili Limited		Mining	ASX
HEXO:TSX	HEXO Corp.	HEXO	Life Sciences	NYSE
HITI:TSXV	High Tide Inc.	HITI	Consumer Products & Services	NasdaqCM
HIVE:TSXV	HIVE Blockchain Technologies Ltd.	HIVE	Technology	NasdaqCM
HUT:TSX	Hut 8 Mining Corp.	HUT	Technology	NasdaqGS
IMG:TSX	IAMGold Corporation	IAG	Mining	NYSE
IMO:TSX	Imperial Oil Limited	IMO	Oil & Gas	NYSE MKT
IMV:TSX	IMV Inc.	IMV	Life Sciences	NasdaqCM
INCA:TSXV	Inca One Gold Corp.		Mining	SSEV
INCR.U:TSX	InterCure Ltd.	INCR	Life Sciences	NasdaqGS
IOM:TSXV	Assure Holdings Corp. 	IONM	Life Sciences	NasdaqCM
IPA:TSXV	ImmunoPrecise Antibodies Ltd.	IPA	Life Sciences	NasdaqGM
IPCO:TSX	International Petroleum Corporation		Oil & Gas	Nasdaq Nordic
ITE:TSX	i3 Energy plc		Oil & Gas	AIM
ITH:TSX	International Tower Hill Mines Ltd.	THM	Mining	NYSE MKT
ITR:TSXV	Integra Resources Corp.	ITRG	Mining	NYSE MKT
JOSE:TSX	Josemaria Resources Inc.		Mining	Nasdaq Nordic
JRV:TSXV	Jervois Global Limited		Mining	ASX
K:TSX	Kinross Gold Corporation	KGC	Mining	NYSE
KCC:TSXV	Kincora Copper Limited		Mining	ASX
KLS:TSX	Kelso Technologies Inc.	KIQ	Industrial Products & Services	NYSE MKT
LAC:TSX	Lithium Americas Corp.	LAC	Mining	NYSE
LAM:TSX	Laramide Resources Ltd.		Mining	ASX
LEV.WT:TSX	Lion Electric Co. Warrants	LEV.WS	Clean Technology	NYSE
LEV:TSX	Lion Electric Company (The)	LEV	Clean Technology	NYSE
LGO:TSX	Largo Inc.	LGO	Mining	NasdaqGS
LIO:TSXV	Lion One Metals Limited		Mining	ASX
LSPD:TSX	Lightspeed Commerce Inc.	LSPD	Technology	NYSE
LUC:TSX	Lucara Diamond Corp.		Mining	Nasdaq Nordic
LUG:TSX	Lundin Gold Inc.		Mining	Nasdaq Nordic
LUN:TSX	Lundin Mining Corporation		Mining	Nasdaq Nordic
MAG:TSX	MAG Silver Corp.	MAG	Mining	NYSE MKT
MAXR:TSX	Maxar Technologies Inc.	MAXR	Technology	NYSE
MCLD:TSXV	mCloud Technologies Corp.		Technology	NasdaqCM
MDNA:TSX	Medicenna Therapeutics Corp.	MDNA	Life Sciences	NasdaqCM
MFC:TSX	Manulife Financial Corporation	MFC	Financial Services	NYSE
MG:TSX	Magna International Inc.	MGA	Industrial Products & Services	NYSE
MKA:TSXV	Mkango Resources Ltd.		Mining	AIM
MMS:TSXV	Macarthur Minerals Limited		Mining	ASX
MMX:TSX	Maverix Metals Inc.	MMX	Mining	NYSE MKT
MOGO:TSX	Mogo Inc.	MOGO	Financial Services	NasdaqCM
MPVD:TSX	Mountain Province Diamonds Inc.		Mining	NasdaqGM
MTA:TSXV	Metalla Royalty & Streaming Ltd.	MTA	Mining	NYSE MKT
MUX:TSX	McEwen Mining Inc.	MUX	Mining	NYSE
MX:TSX	Methanex Corporation	MEOH	Industrial Products & Services	NasdaqGM
NCM:TSX	Newcrest Mining Limited		Mining	ASX
NDM:TSX	Northern Dynasty Minerals Ltd.	NAK	Mining	NYSE MKT
NEPT:TSX	Neptune Wellness Solutions Inc.	NEPT	Life Sciences	NasdaqCM
NFG:TSXV	New Found Gold Corp.	NFGC	Mining	NYSE Mkt
NG:TSX	Novagold Resources Inc.	NG	Mining	NYSE MKT
NGD:TSX	New Gold Inc.	NGD	Mining	NYSE MKT
NGT:TSX	Newmont Corporation	NEM	Mining	NYSE
NOA:TSX	North American Construction Group Ltd.	NOA	Industrial Products & Services	NYSE
NOU:TSXV	Nouveau Monde Graphite Inc.	NMG	Mining	NasdaqCM
NSR:TSX	Nomad Royalty Company Ltd.	NSR	Mining	NYSE
NTR:TSX	Nutrien Ltd.	NTR	Mining	NYSE
NUAG:TSX	New Pacific Metals Corp.	NEWP	Mining	NYSE MKT
NVCN:TSX	Neovasc Inc.	NVCN	Life Sciences	NasdaqCM
NVEI:TSX	Nuvei Corporation	NVEI	Technology	NasdaqGS
NXE:TSX	NexGen Energy Ltd.	NXE	Mining	NYSE MKT
NZP:TSXV	Chatham Rock Phosphate Limited		Mining	NZSE
OBE:TSX	Obsidian Energy Ltd.	OBE	Oil & Gas	NYSE MKT
OGC:TSX	OceanaGold Corporation		Mining	ASX
OGI:TSX	Organigram Holdings Inc.	OGI	Life Sciences	NasdaqGM
OLA:TSX	Orla Mining Ltd.	ORLA	Mining	NYSE MKT
OMI:TSXV	Orosur Mining Inc.		Mining	AIM
ONC:TSX	Oncolytics Biotech Inc.	ONCY	Life Sciences	NasdaqCM
OR:TSX	Osisko Gold Royalties Ltd.	OR	Mining	NYSE
OTEX:TSX	Open Text Corporation	OTEX	Technology	NasdaqGM
OVV:TSX	Ovintiv Inc.	OVV	Oil & Gas	NYSE
PAAS:TSX	Pan American Silver Corp.	PAAS	Mining	NasdaqGM
PD:TSX	Precision Drilling Corporation	PDS	Industrial Products & Services	NYSE
PER:TSXV	Peruvian Metals Corp.		Mining	Lima (BVL)
PGM:TSXV	Pure Gold Mining Inc.		Mining	LSE
PHYS.U:TSX	Sprott Physical Gold Trust	PHYS	Closed-End Funds	NYSE Arca
PML:TSXV	Panoro Minerals Ltd.		Mining	Lima (BVL)
PNPN:TSXV	Power Nickel Inc.		Mining	SSEV
POM:TSX	Polymet Mining Corp.	PLM	Mining	NYSE MKT
PPL:TSX	Pembina Pipeline Corporation	PBA	Utilities & Pipelines	NYSE
PPTA:TSX	Perpetua Resources Corp.	PPTA	Mining	NasdaqCM
PPX:TSXV	PPX Mining Corp.		Mining	Lima (BVL), SSEV
PRMW:TSX	Primo Water Corporation	PRMW	Consumer Products & Services	NYSE
PRN:TSX	Profound Medical Corp.	PROF	Life Sciences	NasdaqCM
PRU:TSX	Perseus Mining Limited		Mining	ASX
PSLV.U:TSX	Sprott Physical Silver Trust	PSLV	Closed-End Funds	NYSE Arca
PTM:TSX	Platinum Group Metals Ltd.	PLG	Mining	NYSE MKT
PTS:TSX	Points.com Inc.	PCOM	Technology	NasdaqCM
PUMA:TSXV	Puma Exploration Inc.		Mining	SSEV
PVG:TSX	Pretium Resources Inc.		Mining	NYSE
PYR:TSX	PyroGenesis Canada Inc.	PYR	Clean Technology	NasdaqCM
QEC:TSX	Questerre Energy Corporation		Oil & Gas	Oslo Bors
QIPT:TSXV	Quipt Home Medical Corp.	QIPT	Life Sciences	NasdaqCM
QSR:TSX	Restaurant Brands International Inc.	QSR	Consumer Products & Services	NYSE
QTRH:TSX	Quarterhill Inc.		Technology	NasdaqGM
RABI:TSXV	AdRabbit Limited		Technology	ASX
RBA:TSX	Ritchie Bros. Auctioneers Incorporated	RBA	Industrial Products & Services	NYSE
RCI.B:TSX	Rogers Communications Inc.	RCI	Communications & Media	NYSE
REAX:TSXV	Real Brokerage Inc. (The)	REAX	Technology	NasdaqCM
REG:TSXV	Regulus Resources Inc.		Mining	Lima (BVL)
RFP:TSX	Resolute Forest Products Inc.	RFP	Industrial Products & Services	NYSE
RIO:TSXV	Rio2 Limited		Mining	Lima (BVL)
RTG:TSX	RTG Mining Inc.		Mining	ASX
RY:TSX	Royal Bank of Canada	RY	Financial Services	NYSE
SBI:TSX	Serabi Gold plc		Mining	AIM
SCZ:TSXV	Santacruz Silver Mining Ltd.		Mining	SSEV
SEA:TSX	Seabridge Gold Inc.	SA	Mining	NYSE
SGML:TSXV	Sigma Lithium Corporation	SGML	Mining	NasdaqCM
SGQ:TSX	SouthGobi Resources Ltd.		Mining	HKEx
SHOP:TSX	Shopify Inc.	SHOP	Technology	NYSE
SII:TSX	Sprott Inc.	SII	Financial Services	NYSE
SIL:TSX	SilverCrest Metals Inc.	SILV	Mining	NYSE MKT
SJR.B:TSX	Shaw Communications Inc.	SJR	Communications & Media	NYSE
SKE:TSX	Skeena Resources Limited	SKE	Mining	NYSE
SLF:TSX	Sun Life Financial Inc.	SLF	Financial Services	NYSE
SLHG:TSXV	Skylight Health Group Inc.	SLHG	Life Sciences	NasdaqCM
SLMN:TSXV	Solis Minerals Ltd.		Mining	ASX
SLR:TSX	Solitario Zinc Corp.	XPL	Mining	NYSE MKT
SMT:TSX	Sierra Metals Inc.	SMTS	Mining	NYSE MKT
SNM:TSXV	ShaMaran Petroleum Corp.		Oil & Gas	Nasdaq Nordic
SOLG:TSX	SolGold plc		Mining	LSE
SOU:TSXV	Southern Energy Corp.		Oil & Gas	AIM
SOY:TSX	SunOpta Inc.	STKL	Clean Technology	NasdaqGM
SPPP.U:TSX	Sprott Physical Platinum and Palladium Trust	SPPP	Closed-End Funds	NYSE Arca
SSL:TSX	Sandstorm Gold Ltd.	SAND	Mining	NYSE
SSRM:TSX	SSR Mining Inc.	SSRM	Mining	NasdaqGM
SSV:TSXV	Southern Silver Exploration Corp.		Mining	SSEV
STC:TSX	Sangoma Technologies Corporation 	SANG	Technology	NASDAQ
STN:TSX	Stantec Inc.	STN	Industrial Products & Services	NYSE
SU:TSX	Suncor Energy Inc.	SU	Oil & Gas	NYSE
SVM:TSX	Silvercorp Metals Inc.	SVM	Mining	NYSE MKT
SW:TSX	Sierra Wireless Inc.	SWIR	Technology	NasdaqGM
T:TSX	TELUS Corporation	TU	Communications & Media	NYSE
TA:TSX	TransAlta Corporation	TAC	Utilities & Pipelines	NYSE
TAL:TSXV	PetroTal Corp.		Oil & Gas	AIM
TC:TSX	Tucows Inc.	TCX	Technology	NasdaqCM
TCN:TSX	Tricon Residential Inc.	TCN	Financial Services	NYSE
TD:TSX	Toronto-Dominion Bank (The)	TD	Financial Services	NYSE
TECK.B:TSX	Teck Resources Limited	TECK	Mining	NYSE
TFII:TSX	TFI International Inc.	TFII	Industrial Products & Services	NYSE
TGL:TSX	TransGlobe Energy Corporation	TGA	Oil & Gas	NasdaqGM
TH:TSX	Theratechnologies Inc.	THTX	Life Sciences	NasdaqCM
THX:TSXV	Thor Explorations Ltd.		Mining	AIM
TIXT:TSX	TELUS International (Cda) Inc.	TIXT	Technology	NYSE
TK:TSXV	Tinka Resources Limited		Mining	Lima (BVL)
TKO:TSX	Taseko Mines Limited	TGB	Mining	NYSE MKT
TLRY:TSX	Tilray, Inc.	TLRY	Consumer Products & Services	NasdaqGS
TMD:TSX	Titan Medical Inc.	TMDI	Life Sciences	NasdaqCM
TMQ:TSX	Trilogy Metals Inc.	TMQ	Mining	NYSE MKT
TMRR:TSXV	Tempus Resources Ltd.		Mining	ASX
TNX:TSX	Tanzanian Gold Corporation	TRX	Mining	NYSE MKT
TRI:TSX	Thomson Reuters Corporation	TRI	Communications & Media	NYSE
TRP:TSX	TC Energy Corporation	TRP	Utilities & Pipelines	NYSE
TRQ:TSX	Turquoise Hill Resources Ltd.	TRQ	Mining	NYSE
TSAT:TSX	Telesat Corporation	TSAT	Technology	NasdaqGS
TV:TSX	Trevali Mining Corporation		Mining	Lima (BVL)
TXP:TSX	Touchstone Exploration Inc.		Oil & Gas	AIM
URC:TSXV	Uranium Royalty Corp.	UROY	Mining	NasdaqCM
URE:TSX	Ur-Energy Inc.	URG	Mining	NYSE MKT
USA:TSX	Americas Gold and Silver Corporation	USAS	Mining	NYSE MKT
VBNK:TSX	VersaBank	VBNK	Financial Services	NasdaqGS
VERY:TSXV	Very Good Food Company Inc. (The)	VGFC	Consumer Products & Services	NasdaqCM
VET:TSX	Vermilion Energy Inc.	VET	Oil & Gas	NYSE
VGZ:TSX	Vista Gold Corp.	VGZ	Mining	NYSE MKT
VLE:TSX	Valeura Energy Inc.		Oil & Gas	LSE
VLNS:TSX	Valens Company Inc. (The)	VLNS	Life Sciences	NasdaqCM
VMC:TSXV	Vicinity Motor Corp.	VEV	Industrial Products & Services	NasdaqCM
VMD:TSX	Viemed Healthcare, Inc.	VMD	Life Sciences	NasdaqCM
VQS:TSX	VIQ Solutions Inc.	VQS	Technology	NasdaqCM
VWE:TSX	Vintage Wine Estates, Inc.		Consumer Products & Services	NasdaqGM
VZLA:TSXV	Vizsla Silver Corp.		Mining	NYSE Mkt
WCN:TSX	Waste Connections, Inc.	WCN	Industrial Products & Services	NYSE
WEED:TSX	Canopy Growth Corporation	CGC	Life Sciences	NasdaqGS
WFG:TSX	West Fraser Timber Co. Ltd.	WFG	Industrial Products & Services	NYSE
WML:TSXV	Wealth Minerals Ltd.		Mining	SSEV
WPM:TSX	Wheaton Precious Metals Corp.	WPM	Mining	NYSE
WPRT:TSX	Westport Fuel Systems Inc.	WPRT	Clean Technology	NasdaqGM
WRN:TSX	Western Copper and Gold Corporation	WRN	Mining	NYSE MKT
XAM:TSX	Xanadu Mines Ltd.		Mining	ASX
XRTX:TSXV	XORTX Therapeutics Inc.	XRTX	Life Sciences	NasdaqCM
YRI:TSX	Yamana Gold Inc.	AUY	Mining	NYSE
